               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082649,            0.041952,            0.043041,             0.47984,              0.2921,             0.24732,            0.082577,            0.056317,            0.026697,            0.037371,            0.070375,           0.0032917,           0.0032917
                   1,            0.057996,            0.032381,            0.031583,             0.35573,             0.54118,             0.37451,             0.12451,            0.059315,            0.018878,            0.021138,            0.040309,           0.0065594,           0.0065594
                   2,            0.055715,            0.028677,            0.016094,             0.53747,             0.59313,             0.58045,             0.25734,            0.043964,            0.020568,            0.012838,            0.010178,           0.0097612,           0.0097612
                   3,            0.049746,            0.029475,             0.01105,              0.6241,             0.62459,             0.64353,             0.31721,            0.043746,            0.020142,            0.013113,            0.009703,            0.009703,            0.009703
                   4,            0.044885,            0.028535,           0.0085695,              0.5164,             0.57084,             0.56129,             0.28678,            0.038186,            0.019409,            0.028484,            0.009703,            0.009703,            0.009703
                   5,             0.04281,            0.028608,              0.0072,             0.73044,             0.73178,             0.75806,             0.39405,            0.036783,            0.018931,           0.0068285,            0.009604,            0.009604,            0.009604
                   6,            0.041552,            0.027629,           0.0059717,             0.71506,             0.73329,             0.77627,             0.40507,            0.037482,            0.019334,            0.007922,            0.009505,            0.009505,            0.009505
                   7,            0.040491,            0.027911,           0.0058933,             0.69793,              0.6028,             0.66199,             0.34556,            0.037993,            0.020339,            0.011153,            0.009406,            0.009406,            0.009406
                   8,             0.03953,            0.027185,           0.0050577,             0.72941,             0.74763,             0.76974,             0.40584,            0.037024,            0.018937,           0.0089592,            0.009307,            0.009307,            0.009307
                   9,            0.038668,            0.026931,            0.004774,             0.77268,             0.70893,             0.75537,             0.40218,            0.036982,             0.01833,           0.0062704,            0.009208,            0.009208,            0.009208
                  10,            0.037716,            0.025882,           0.0046624,             0.77195,             0.76577,             0.80892,             0.41797,            0.036426,            0.018466,           0.0060913,            0.009109,            0.009109,            0.009109
                  11,            0.036932,            0.026579,           0.0043258,             0.76267,             0.79746,              0.8276,             0.45968,            0.034204,            0.017807,           0.0036472,             0.00901,             0.00901,             0.00901
                  12,            0.036429,            0.025523,           0.0043979,             0.75623,             0.78338,             0.81688,             0.42624,             0.03437,            0.017649,           0.0047262,            0.008911,            0.008911,            0.008911
                  13,            0.035898,            0.025759,           0.0039652,             0.79414,             0.79467,             0.83067,             0.46081,            0.033774,            0.017451,             0.00271,            0.008812,            0.008812,            0.008812
                  14,            0.035065,            0.026234,           0.0033613,             0.79101,             0.80401,             0.84946,             0.46426,            0.033195,            0.017822,           0.0020049,            0.008713,            0.008713,            0.008713
                  15,            0.035124,            0.025353,           0.0026568,             0.79285,             0.84698,             0.86928,             0.48704,            0.032059,            0.017377,           0.0011527,            0.008614,            0.008614,            0.008614
                  16,            0.034363,            0.025054,           0.0030017,             0.77579,             0.82759,             0.84165,             0.47391,            0.032669,            0.017144,           0.0030365,            0.008515,            0.008515,            0.008515
                  17,            0.033757,            0.024892,           0.0019799,              0.8089,             0.84008,             0.87799,             0.51033,            0.031018,            0.017227,           0.0007744,            0.008416,            0.008416,            0.008416
                  18,            0.033065,            0.024944,              0.0017,             0.78785,             0.82956,             0.85338,             0.49476,             0.03136,            0.017482,           0.0013132,            0.008317,            0.008317,            0.008317
                  19,            0.032108,             0.02396,           0.0015174,             0.81115,             0.84037,             0.87165,             0.50433,            0.031078,            0.017124,           0.0013369,            0.008218,            0.008218,            0.008218
                  20,            0.032503,             0.02346,           0.0019036,             0.80356,             0.83222,             0.85971,             0.51584,            0.031118,            0.017095,           0.0014949,            0.008119,            0.008119,            0.008119
                  21,            0.032466,            0.023383,           0.0023644,             0.77581,             0.84994,             0.85908,             0.48249,            0.032292,            0.017689,           0.0036279,             0.00802,             0.00802,             0.00802
                  22,            0.032082,            0.023869,           0.0019969,             0.80134,             0.84135,             0.86945,             0.49735,            0.031422,            0.016972,           0.0014737,            0.007921,            0.007921,            0.007921
                  23,            0.031333,            0.023251,           0.0019624,             0.80422,             0.80377,             0.84434,             0.49165,            0.032041,            0.017236,           0.0012394,            0.007822,            0.007822,            0.007822
                  24,            0.031735,            0.024129,           0.0016736,             0.81005,             0.84506,             0.87485,             0.52395,            0.030481,            0.017233,          0.00091521,            0.007723,            0.007723,            0.007723
                  25,            0.031202,            0.023473,           0.0014045,             0.79383,              0.8522,             0.86666,             0.49019,            0.031846,             0.01808,          0.00063982,            0.007624,            0.007624,            0.007624
                  26,            0.030949,            0.023403,           0.0013541,             0.81553,             0.83385,             0.86706,             0.52502,            0.030069,            0.017252,           0.0012794,            0.007525,            0.007525,            0.007525
                  27,            0.030931,            0.023584,           0.0015174,             0.83761,             0.83492,             0.88217,             0.51945,            0.030197,            0.017102,           0.0011349,            0.007426,            0.007426,            0.007426
                  28,            0.030585,            0.023153,           0.0013245,             0.79299,             0.85499,             0.86673,             0.51313,            0.030685,            0.017487,           0.0013792,            0.007327,            0.007327,            0.007327
                  29,            0.029952,            0.023479,           0.0013559,             0.79791,             0.83744,             0.86711,              0.4971,            0.031664,            0.017259,           0.0011151,            0.007228,            0.007228,            0.007228
                  30,            0.030062,            0.022793,           0.0014732,              0.8124,              0.8375,             0.86179,             0.50794,            0.030646,            0.017471,          0.00079911,            0.007129,            0.007129,            0.007129
                  31,            0.030173,            0.022895,           0.0013549,             0.81113,             0.85632,             0.88408,             0.53489,            0.029779,            0.017027,          0.00038621,             0.00703,             0.00703,             0.00703
                  32,            0.029616,            0.022912,           0.0012623,             0.82577,             0.83118,             0.86347,             0.48781,            0.031984,            0.017139,          0.00044264,            0.006931,            0.006931,            0.006931
                  33,             0.02997,              0.0227,           0.0017783,             0.80159,             0.83853,             0.85721,             0.48851,            0.031099,            0.017632,           0.0010653,            0.006832,            0.006832,            0.006832
                  34,            0.029597,            0.022836,           0.0017211,             0.80902,             0.81295,             0.85602,             0.49595,            0.031534,            0.017955,           0.0021906,            0.006733,            0.006733,            0.006733
                  35,            0.029659,            0.023424,           0.0018564,             0.80278,             0.84047,              0.8658,             0.50716,            0.031317,            0.017345,           0.0011725,            0.006634,            0.006634,            0.006634
                  36,            0.029364,            0.023451,           0.0011855,             0.80631,             0.85665,             0.86533,             0.52036,            0.030209,            0.017456,          0.00053286,            0.006535,            0.006535,            0.006535
                  37,            0.028311,            0.021749,           0.0011295,             0.82418,             0.83073,             0.87696,             0.51555,            0.030807,            0.017464,          0.00037752,            0.006436,            0.006436,            0.006436
                  38,            0.028541,            0.021793,          0.00092027,              0.8243,             0.84321,             0.88066,             0.51144,            0.031144,             0.01757,          0.00044654,            0.006337,            0.006337,            0.006337
                  39,            0.028595,            0.021423,          0.00091838,             0.81497,             0.84806,             0.87229,             0.51912,             0.03084,            0.017555,           0.0004322,            0.006238,            0.006238,            0.006238
                  40,            0.028072,              0.0213,           0.0010624,             0.82403,             0.84692,             0.87601,             0.51832,            0.030277,             0.01755,          0.00061371,            0.006139,            0.006139,            0.006139
                  41,            0.028414,            0.022243,           0.0011815,             0.81363,             0.84017,             0.87775,              0.5221,             0.03058,            0.017155,          0.00053997,             0.00604,             0.00604,             0.00604
                  42,            0.028022,            0.022226,           0.0010793,              0.8136,             0.85974,             0.87293,             0.52839,            0.030028,            0.017265,          0.00037228,            0.005941,            0.005941,            0.005941
                  43,            0.027212,            0.021685,          0.00079597,             0.78639,             0.86475,             0.86157,             0.52134,            0.030267,            0.018188,          0.00057052,            0.005842,            0.005842,            0.005842
                  44,            0.026945,            0.021891,          0.00085049,             0.80696,             0.85329,             0.86941,             0.52145,            0.030398,            0.017669,          0.00046482,            0.005743,            0.005743,            0.005743
                  45,            0.027102,            0.020895,          0.00098978,             0.82067,              0.8359,             0.86754,             0.50259,            0.031365,            0.017726,          0.00037665,            0.005644,            0.005644,            0.005644
                  46,            0.027177,            0.021634,          0.00094875,             0.79448,             0.84057,             0.86082,             0.51265,            0.030885,            0.018521,           0.0004072,            0.005545,            0.005545,            0.005545
                  47,            0.027082,            0.021815,           0.0010343,             0.80167,             0.84457,              0.8696,             0.51488,            0.030574,            0.017951,          0.00055458,            0.005446,            0.005446,            0.005446
                  48,            0.027082,            0.020975,          0.00074665,              0.8002,              0.8513,             0.87168,             0.51616,            0.030532,            0.017787,           0.0003212,            0.005347,            0.005347,            0.005347
                  49,            0.026555,            0.021001,          0.00074233,             0.80911,             0.84591,             0.86754,             0.52069,            0.030529,            0.018217,           0.0004229,            0.005248,            0.005248,            0.005248
                  50,            0.026503,            0.020511,          0.00069197,             0.80291,             0.85477,              0.8631,             0.51136,            0.030868,            0.018227,           0.0002957,            0.005149,            0.005149,            0.005149
                  51,            0.025709,            0.020256,          0.00075897,             0.82732,              0.8529,             0.87088,              0.5097,            0.030717,             0.01761,          0.00031592,             0.00505,             0.00505,             0.00505
                  52,            0.026061,            0.020566,          0.00068742,              0.8078,             0.85103,             0.87228,             0.52307,            0.030161,            0.017893,          0.00031026,            0.004951,            0.004951,            0.004951
                  53,            0.025642,            0.020508,          0.00094734,              0.8135,             0.84666,             0.87585,             0.52137,            0.030601,            0.018372,          0.00022881,            0.004852,            0.004852,            0.004852
                  54,            0.025823,             0.02059,          0.00080817,             0.80597,             0.86015,             0.86913,             0.51381,            0.030257,            0.018535,          0.00034313,            0.004753,            0.004753,            0.004753
                  55,            0.025809,            0.021125,          0.00093964,             0.79031,             0.85825,              0.8639,             0.51006,            0.030844,            0.018378,          0.00068083,            0.004654,            0.004654,            0.004654
                  56,            0.025252,            0.019993,           0.0010358,             0.80555,             0.85022,              0.8607,             0.51257,            0.030852,            0.018283,          0.00026884,            0.004555,            0.004555,            0.004555
                  57,            0.025186,            0.019679,          0.00066702,             0.80783,             0.84549,             0.86508,             0.51624,            0.030834,            0.018404,          0.00037451,            0.004456,            0.004456,            0.004456
                  58,            0.025457,            0.019655,          0.00054944,              0.8071,             0.84337,              0.8666,              0.5146,            0.030718,            0.018231,          0.00032863,            0.004357,            0.004357,            0.004357
                  59,            0.025352,            0.019185,          0.00086127,             0.80516,             0.84838,             0.85791,             0.50829,             0.03128,            0.018792,          0.00040976,            0.004258,            0.004258,            0.004258
                  60,            0.024522,            0.019496,           0.0006933,             0.82271,             0.83009,             0.86615,             0.51786,             0.03048,            0.018532,          0.00036454,            0.004159,            0.004159,            0.004159
                  61,            0.025077,            0.019814,           0.0005899,             0.81422,             0.84819,             0.87197,             0.52594,            0.030233,            0.018316,          0.00018865,             0.00406,             0.00406,             0.00406
                  62,            0.024642,            0.019381,          0.00066049,             0.80758,             0.85477,             0.86948,             0.52558,            0.030256,            0.018506,          0.00028128,            0.003961,            0.003961,            0.003961
                  63,            0.024512,            0.019665,          0.00075109,             0.80746,             0.83602,             0.85495,             0.51105,            0.030729,            0.018543,          0.00027252,            0.003862,            0.003862,            0.003862
                  64,            0.024289,            0.019488,          0.00058179,             0.80349,             0.85182,             0.86731,             0.51878,            0.030737,            0.018644,          0.00017386,            0.003763,            0.003763,            0.003763
                  65,            0.024475,            0.019455,          0.00051285,             0.80938,             0.83404,             0.86197,             0.52533,            0.030015,            0.018784,          0.00014745,            0.003664,            0.003664,            0.003664
                  66,            0.024028,            0.019302,          0.00054988,              0.8059,             0.85565,             0.87526,             0.52708,             0.03064,            0.018283,          0.00038079,            0.003565,            0.003565,            0.003565
                  67,            0.023852,            0.019058,          0.00092248,             0.80996,             0.85419,             0.85775,             0.52071,            0.030209,             0.01868,          0.00012796,            0.003466,            0.003466,            0.003466
                  68,            0.024083,            0.019781,          0.00063903,             0.80161,             0.85442,             0.86382,             0.51632,            0.030627,            0.018467,          0.00029977,            0.003367,            0.003367,            0.003367
                  69,            0.023606,            0.019196,          0.00056267,             0.78605,             0.87237,              0.8687,              0.5191,            0.030755,            0.019072,          0.00016439,            0.003268,            0.003268,            0.003268
                  70,            0.023509,            0.019388,           0.0011847,             0.79374,             0.86497,             0.86463,             0.51899,            0.030681,            0.019088,          0.00018028,            0.003169,            0.003169,            0.003169
                  71,            0.023465,            0.019221,          0.00082267,             0.80987,             0.84286,             0.86444,             0.51939,            0.030617,            0.018969,           0.0002444,             0.00307,             0.00307,             0.00307
                  72,            0.023048,            0.018638,          0.00044619,             0.78977,             0.87154,             0.86483,             0.52256,            0.030642,            0.019116,          0.00013897,            0.002971,            0.002971,            0.002971
                  73,            0.023227,             0.01962,          0.00047124,             0.81568,             0.84988,             0.86162,             0.51805,            0.030488,            0.019082,          9.6951e-05,            0.002872,            0.002872,            0.002872
                  74,            0.022479,            0.018479,          0.00045971,             0.81317,             0.85368,             0.86661,             0.52084,            0.030636,            0.019433,          0.00010407,            0.002773,            0.002773,            0.002773
                  75,            0.022806,            0.018659,          0.00043411,             0.81322,             0.86437,             0.86718,             0.51846,            0.030678,            0.019331,          0.00011601,            0.002674,            0.002674,            0.002674
                  76,             0.02268,            0.019221,          0.00042496,             0.81808,             0.86282,             0.87247,             0.52673,             0.03044,            0.019169,          0.00020759,            0.002575,            0.002575,            0.002575
                  77,            0.022465,            0.018498,          0.00082309,             0.81047,             0.86432,             0.86689,             0.52133,            0.030697,            0.019094,          0.00014265,            0.002476,            0.002476,            0.002476
                  78,            0.022325,            0.018596,          0.00074312,             0.79513,             0.86496,             0.85722,             0.51228,             0.03091,            0.019761,          0.00016965,            0.002377,            0.002377,            0.002377
                  79,            0.022627,             0.01799,          0.00047423,             0.79794,             0.86253,             0.85964,              0.5174,            0.030648,              0.0198,          9.2203e-05,            0.002278,            0.002278,            0.002278
                  80,            0.022014,            0.017858,          0.00044303,              0.8019,             0.86003,             0.86853,             0.52135,             0.03089,            0.019526,          0.00012309,            0.002179,            0.002179,            0.002179
                  81,              0.0219,            0.017827,          0.00036013,             0.80478,             0.86496,             0.86565,             0.52372,            0.030556,            0.019624,            9.12e-05,             0.00208,             0.00208,             0.00208
                  82,            0.021652,            0.018097,          0.00035508,             0.78862,             0.87076,             0.85244,              0.5089,             0.03118,            0.019925,          7.9397e-05,            0.001981,            0.001981,            0.001981
                  83,            0.021765,            0.018314,          0.00041138,             0.80148,               0.864,             0.86252,             0.51582,            0.030985,            0.019686,          8.9392e-05,            0.001882,            0.001882,            0.001882
                  84,            0.021557,            0.018613,          0.00052214,             0.79138,             0.86553,             0.85778,             0.51749,            0.030786,            0.019942,          0.00011702,            0.001783,            0.001783,            0.001783
                  85,            0.021378,            0.018138,          0.00033565,             0.80995,              0.8588,              0.8639,             0.52381,            0.030623,            0.019873,          8.0526e-05,            0.001684,            0.001684,            0.001684
                  86,            0.021585,            0.017491,          0.00036749,             0.80196,             0.85475,             0.85229,             0.50995,            0.031134,            0.020092,          0.00010699,            0.001585,            0.001585,            0.001585
                  87,            0.021621,            0.019658,          0.00091746,             0.79721,             0.86864,             0.86126,             0.51997,            0.030725,             0.02035,          9.3387e-05,            0.001486,            0.001486,            0.001486
                  88,            0.021019,            0.017645,          0.00036184,             0.80533,             0.85932,             0.86096,             0.51964,            0.031231,            0.020054,           0.0001131,            0.001387,            0.001387,            0.001387
                  89,            0.021319,            0.017363,          0.00030778,             0.80767,             0.85368,             0.86085,             0.51723,             0.03102,            0.019905,          9.3729e-05,            0.001288,            0.001288,            0.001288
                  90,            0.021149,            0.017371,          0.00039587,             0.81102,             0.85646,             0.85985,             0.51234,            0.031212,            0.020302,          6.8075e-05,            0.001189,            0.001189,            0.001189
                  91,            0.021084,            0.017251,          0.00030875,             0.79583,             0.86658,             0.86248,             0.51818,             0.03103,            0.020299,          6.2469e-05,             0.00109,             0.00109,             0.00109
                  92,            0.020793,            0.017555,          0.00041501,             0.79558,             0.86327,             0.85559,             0.51212,            0.031188,            0.020103,          6.8127e-05,            0.000991,            0.000991,            0.000991
                  93,            0.020752,              0.0173,          0.00030379,             0.80067,             0.85789,             0.86114,             0.51732,            0.030943,            0.020344,          6.3793e-05,            0.000892,            0.000892,            0.000892
                  94,            0.020443,            0.017092,          0.00052353,             0.80568,             0.85291,             0.85907,             0.51646,             0.03108,             0.02028,          6.7439e-05,            0.000793,            0.000793,            0.000793
                  95,            0.020487,            0.016923,          0.00030633,             0.80135,             0.86837,             0.86521,             0.51838,            0.031058,            0.020444,          7.3415e-05,            0.000694,            0.000694,            0.000694
                  96,            0.020424,            0.016959,          0.00047217,             0.81221,             0.84739,              0.8636,             0.52139,            0.030797,            0.020389,           5.788e-05,            0.000595,            0.000595,            0.000595
                  97,            0.020374,            0.016657,           0.0002738,             0.80838,             0.85275,             0.86095,             0.51533,            0.031079,            0.020475,          5.8912e-05,            0.000496,            0.000496,            0.000496
                  98,            0.020401,             0.01683,          0.00033443,              0.8117,             0.85154,             0.86284,             0.51934,             0.03098,            0.020517,          5.4356e-05,            0.000397,            0.000397,            0.000397
                  99,            0.019929,            0.017184,          0.00055484,             0.80514,             0.85552,              0.8646,             0.52261,            0.030844,            0.020473,          5.6632e-05,            0.000298,            0.000298,            0.000298
